route,route_name,event_id,timestamp_or_date,issuing_unit,receiving_units,action_type,dependency_type,implementation_marker,public_information_marker,source_citation,confidence_note,scale_tag
nz,New Zealand,nz-a-001,2020-01-27,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,formal activation of the national security system,directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,`src-oag-covid-response-2022` (Part 4); `src-oag-covid-appendix1-2022`,high,sigma1; sigma2
nz,New Zealand,nz-a-002,2020-02-28,public-health policy and command,strategic executive coordination; border-control coordination; public-information coordination,first confirmed case and explicit shift in pandemic-phase posture,information or reporting dependency; public-communication dependency,decision announced,major public briefing,"`src-oag-covid-response-2022` (Part 4, para. 4.24); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-001,2020-03-02,strategic executive coordination,public-health policy and command; public-service system coordination,creation of the Ad Hoc Cabinet Committee on the Covid-19 Response,directive or authority dependency,decision announced,none recorded,"`src-oag-covid-response-2022` (Part 5, para. 5.15); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2
nz,New Zealand,nz-p-002,2020-03-06,strategic executive coordination,emergency-management coordination; public-health policy and command; public-service system coordination,activation of the National Crisis Management Centre at the Ministry of Health,directive or authority dependency; resource or logistics dependency,implementation initiated,none recorded,"`src-oag-covid-response-2022` (Part 5, para. 5.7); `src-oag-covid-appendix1-2022`",high,sigma1; sigma2
nz,New Zealand,nz-p-003,2020-03-11,strategic executive coordination,emergency-management coordination; public-health policy and command; public-service system coordination,appointment of an All-of-Government Controller to connect the national security system and the operational response,directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,"`src-oag-covid-response-2022` (Part 5, paras. 5.8-5.10); `src-oag-covid-appendix1-2022`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-008,2020-03-14,strategic executive coordination,public-health policy and command; border-control coordination; enforcement and compliance; public-information coordination,14-day self-isolation for arrivals and strengthened border-health measures announced,legal or compliance dependency; public-communication dependency; directive or authority dependency,decision announced,official guidance update,`src-beehive-major-steps-covid-2020`; `src-oag-covid-response-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-004,2020-03-19,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,replacement of the Ad Hoc Cabinet Committee by the Covid-19 Ministerial Group with urgent decision authority,directive or authority dependency,implementation initiated,none recorded,"`src-oag-covid-response-2022` (Part 5, para. 5.16); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-009,2020-03-19,strategic executive coordination,public-health policy and command; border-control coordination; enforcement and compliance; public-information coordination,closure of the border to most non-citizens and non-residents,legal or compliance dependency; directive or authority dependency; public-communication dependency,implementation initiated,official guidance update; enforcement or compliance communication,`src-beehive-stronger-border-measures-2020`; `src-oag-covid-response-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-005,2020-03-21,strategic executive coordination,public-health policy and command; public-information coordination; enforcement and compliance; public-service system coordination,announcement of the four-stage Alert Level framework,directive or authority dependency; public-communication dependency,decision announced,alert-level communication,"`src-beehive-alert-level-2-2020`; `src-oag-covid-response-2022` (Part 5, para. 5.17); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-010,2020-03-23,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,move to Alert Level 3 with transition to Level 4 in 48 hours announced,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,alert-level communication; enforcement or compliance communication,`src-beehive-level-3-4-2020`; `src-oag-covid-response-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-006,2020-03-25,strategic executive coordination,public-health policy and command; emergency-management coordination; border-control coordination; enforcement and compliance; public-information coordination,declaration of a state of national emergency and entry into Level 4 lockdown,legal or compliance dependency; directive or authority dependency; public-communication dependency,implementation initiated,alert-level communication; enforcement or compliance communication,"`src-oag-covid-response-2022` (Part 5, paras. 5.17-5.18); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-007,2020-04-01,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,Quin-centred all-of-government response structure visible in National Action Plan 2.0,information or reporting dependency; directive or authority dependency,implementation observed,none recorded,"`src-dpmc-national-action-plan-v2-2020`; `src-dpmc-all-of-government-system-2020`; `src-dpmc-public-information-2020`; `src-oag-covid-response-2022` (Part 5, Figure 3 and paras. 5.31-5.33); `src-oag-covid-appendix1-2022`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-019,2020-03-31,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,all-of-government plan for managing stranded people formalized in Cabinet material,directive or authority dependency; resource or logistics dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-stranded-people-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-014,2020-04-04,enforcement and compliance,public-health policy and command; public-information coordination,additional Alert Level 4 rules clarified through Police guidance,legal or compliance dependency; public-communication dependency; information or reporting dependency,official guidance update,official guidance update; enforcement or compliance communication,`src-police-alert-level-4-guidelines-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-020,2020-04-02,public-service system coordination,public-health policy and command; emergency-management coordination; border-control coordination; public-information coordination,welfare coordination for people in quarantine and managed isolation formalized,resource or logistics dependency; information or reporting dependency; public-communication dependency,implementation initiated,none recorded,`src-dpmc-quarantine-managed-isolation-welfare-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-021,2020-04-09,emergency-management coordination,strategic executive coordination; public-service system coordination; enforcement and compliance,guidance on the use of CDEM Act key powers updated for the COVID-19 state of national emergency,legal or compliance dependency; directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-cdem-powers-guidance-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-022,2020-04-14,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; enforcement and compliance; public-information coordination,review-preparation for New Zealand's Level 4 status formalized in Cabinet material,directive or authority dependency; information or reporting dependency; public-communication dependency,implementation initiated,none recorded,`src-dpmc-review-level4-status-2020`; `src-dpmc-review-alert-level4-paper-minute-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-016,2020-04-29,enforcement and compliance,public-health policy and command; border-control coordination; public-information coordination,Aviation Security and Police continue joint reassurance patrols and quarantine/isolation compliance checks,legal or compliance dependency; resource or logistics dependency; public-communication dependency,implementation observed,enforcement or compliance communication,`src-police-avsec-working-together-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-011,2020-04-16,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,Alert Level 3 restrictions announced,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,alert-level communication; enforcement or compliance communication,`src-beehive-alert-level-3-restrictions-2020`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-012,2020-04-20,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,date for move to Alert Level 3 publicly announced,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,alert-level communication,`src-beehive-date-move-level-3-2020`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-015,2020-04-20,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,implementation and compliance framework for the move to Alert Level 3 detailed in Cabinet material,directive or authority dependency; legal or compliance dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-alert-level-implementation-2020`; `src-beehive-date-move-level-3-2020`,medium-high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-018,2020-04-20,enforcement and compliance,public-health policy and command; public-service system coordination; public-information coordination,"Police confirm visible compliance, cross-agency support, and education-first enforcement during extended Level 4",legal or compliance dependency; resource or logistics dependency; public-communication dependency,implementation observed,official guidance update; enforcement or compliance communication,`src-police-support-communities-level-4-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-023,2020-04-21,emergency-management coordination,public-health policy and command; public-service system coordination; border-control coordination,local-authority and CDEM welfare-support criteria widened to meet immediate COVID-19 response needs,resource or logistics dependency; directive or authority dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-local-authority-welfare-support-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-017,2020-04-23,enforcement and compliance,emergency-management coordination; public-service system coordination; public-information coordination,"Police clarify position on community checkpoints and partnership conditions with local authorities, CDEM managers, iwi, and communities",legal or compliance dependency; directive or authority dependency; public-communication dependency,official guidance update,official guidance update,`src-police-covid-checkpoints-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-028,2020-04-22,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,powers and authorisations to give effect to Alert Level 3 are formalized in Cabinet material,directive or authority dependency; legal or compliance dependency; information or reporting dependency,implementation prepared,none recorded,`src-dpmc-powers-authorisations-level3-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-013,2020-04-28,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,move to Alert Level 3 and first easing from Level 4 begins,directive or authority dependency; legal or compliance dependency; public-communication dependency,implementation initiated,alert-level communication; enforcement or compliance communication,`src-oag-covid-appendix1-2022`; `src-royal-commission-phase-one-2024`,medium-high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-024,2020-04-28,enforcement and compliance,public-health policy and command; public-information coordination,Police urge the public to keep following the rules at Alert Level 3 as the easing interval begins,legal or compliance dependency; public-communication dependency,official guidance update,official guidance update; enforcement or compliance communication,`src-police-level-3-following-rules-2020`; `src-police-covid-major-events-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-025,2020-05-01,enforcement and compliance,public-health policy and command; public-information coordination,Police remind the public of Alert Level 3 restrictions and continued compliance expectations,legal or compliance dependency; public-communication dependency,official guidance update,official guidance update; enforcement or compliance communication,`src-police-covid-major-events-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-029,2020-05-04,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; enforcement and compliance; public-information coordination,preparation to review New Zealand's Level 3 status is formalized in Cabinet material,directive or authority dependency; information or reporting dependency,implementation prepared,none recorded,`src-dpmc-preparing-review-level3-status-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-027,2020-05-06,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,"formal preparation for Alert Level 2 sets guidance revisions, service phasing, and public messaging expectations ahead of the next review",directive or authority dependency; information or reporting dependency; legal or compliance dependency; public-communication dependency,implementation prepared,official guidance update; alert-level communication,`src-dpmc-preparing-for-alert-level-2-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-p-026,2020-05-08,enforcement and compliance,public-health policy and command; public-information coordination,Police remind the public New Zealand remains in Alert Level 3 ahead of the next transition decision,legal or compliance dependency; public-communication dependency,official guidance update,official guidance update; enforcement or compliance communication,`src-police-covid-major-events-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-007,2020-05-11,strategic executive coordination,public-health policy and command; emergency-management coordination; public-service system coordination; enforcement and compliance; public-information coordination,review of Alert Level 3 is completed in Cabinet paper and minute ahead of the move to Level 2,directive or authority dependency; legal or compliance dependency; information or reporting dependency,decision reviewed,none recorded,`src-dpmc-review-alert-level3-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-004,2020-05-11,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,public decision announcement for the move to Alert Level 2,directive or authority dependency; public-communication dependency; legal or compliance dependency,decision announced,alert-level communication,`src-beehive-level-2-announcement-2020`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-006,2020-05-12,emergency-management coordination,strategic executive coordination; public-service system coordination; enforcement and compliance; public-information coordination,national transition period planning formalized in a joint DPMC/NEMA briefing,directive or authority dependency; legal or compliance dependency; information or reporting dependency,implementation initiated,none recorded,`src-dpmc-national-transition-period-2020`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-005,2020-05-13,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,legal framework for COVID-19 Alert Level 2 passes,legal or compliance dependency; directive or authority dependency; public-communication dependency,implementation initiated,official guidance update; enforcement or compliance communication,`src-beehive-level-2-legal-framework-2020`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-001,2020-05-13,emergency-management coordination,strategic executive coordination; public-information coordination; enforcement and compliance,end of the state of national emergency and beginning of the national transition period,legal or compliance dependency; public-communication dependency,implementation initiated,official guidance update,"`src-beehive-state-national-emergency-ended-2020`; `src-oag-covid-response-2022` (Part 5, para. 5.23); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-002,2020-05-14,strategic executive coordination,public-health policy and command; public-information coordination; enforcement and compliance; public-service system coordination,move to Alert Level 2 and start of the lower-acuity comparator window,directive or authority dependency; public-communication dependency; legal or compliance dependency,implementation initiated,alert-level communication,`src-beehive-level-2-announcement-2020`; `src-oag-covid-appendix1-2022`; `src-royal-commission-phase-one-2024`,high,sigma1; sigma2; sigma3
nz,New Zealand,nz-b-003,2020-06-08,strategic executive coordination,public-health policy and command; emergency-management coordination; public-information coordination; enforcement and compliance,move to Alert Level 1 and end of the national transition period,legal or compliance dependency; public-communication dependency,implementation initiated,alert-level communication,"`src-beehive-alert-level-1-2020`; `src-beehive-national-transition-period-ends-2020`; `src-oag-covid-response-2022` (Part 5, paras. 5.23-5.24); `src-royal-commission-phase-one-2024`",high,sigma1; sigma2; sigma3
tw,Taiwan,tw-a-001,2020-01-20,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,activation of the CECC and cross-agency command-centre support,directive or authority dependency; information or reporting dependency; public-communication dependency,implementation initiated,major public briefing,`src-taiwan-cecc-activation-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-a-002,2020-01-21,public-health policy and command,border-control coordination; public-service system coordination; public-information coordination,first imported case is identified through onboard quarantine and routed to a designated hospital with local-health-authority notification,information or reporting dependency; resource or logistics dependency; public-communication dependency,implementation observed,major public briefing,`src-taiwan-first-imported-case-onboard-quarantine-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-a-003,2020-01-22,border-control coordination,strategic executive coordination; public-health policy and command; public-service system coordination; public-information coordination,Taoyuan Airport Response Center is formed to implement CECC border-quarantine measures at the main point of entry,directive or authority dependency; resource or logistics dependency; information or reporting dependency,implementation initiated,none recorded,`src-taiwan-airport-ihr`,medium-high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-006,2020-02-08,border-control coordination,public-health policy and command; border-control coordination; public-information coordination,entry home-quarantine requirements are tightened for Hong Kong and Macau transit and for travelers returning from specified epidemic areas,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,official guidance update,`src-taiwan-all-travelers-home-quarantine-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-001,2020-02-15,public-health policy and command,public-service system coordination; border-control coordination; public-information coordination,"clarification of home-quarantine support, daily follow-up, and airport/port notification expectations",information or reporting dependency; public-communication dependency; directive or authority dependency,implementation clarified,official guidance update,`src-taiwan-home-quarantine-support-2020`,high,sigma1; sigma2
tw,Taiwan,tw-p-002,2020-03-18,strategic executive coordination,public-health policy and command; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,restriction of foreign entry and routing of travelers into home-quarantine procedure through local district offices,directive or authority dependency; legal or compliance dependency; information or reporting dependency; public-communication dependency,implementation initiated,major public briefing,`src-taiwan-entry-restrictions-home-quarantine-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-003,2020-03-22,border-control coordination,border-control coordination; public-information coordination,suspension of airline passenger transit through Taiwan,directive or authority dependency; public-communication dependency,implementation initiated,official guidance update,`src-taiwan-transit-ban-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-004,2020-03-27,public-health policy and command,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,"clarification of home-quarantine and home-isolation rules, local care/support routing, and sanction language",legal or compliance dependency; information or reporting dependency; public-communication dependency,implementation clarified,enforcement or compliance communication,`src-taiwan-home-quarantine-isolation-regulations-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-010,2020-03-29,public-health policy and command,public-service system coordination; public-information coordination,"health agencies are notified during home quarantine, medical care is arranged, and household contacts are placed into home isolation in confirmed imported-case handling",information or reporting dependency; resource or logistics dependency; public-communication dependency,implementation observed,official guidance update,`src-taiwan-home-quarantine-health-agency-routing-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-011,2020-04-01,border-control coordination,public-service system coordination; enforcement and compliance; public-information coordination,people under home quarantine are prohibited from domestic flight or ferry travel to offshore islands and the passenger-transit ban is extended to April 30,directive or authority dependency; legal or compliance dependency; resource or logistics dependency; public-communication dependency,implementation initiated,official guidance update,`src-taiwan-home-quarantine-domestic-travel-ban-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-007,2020-04-01,enforcement and compliance,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,cumulative penalties and group-quarantine escalation clarified for home quarantine and home isolation breaches,legal or compliance dependency; information or reporting dependency; public-communication dependency,implementation clarified,enforcement or compliance communication,`src-taiwan-cumulative-penalties-home-quarantine-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-012,2020-04-01,public-health policy and command,public-service system coordination; enforcement and compliance; public-information coordination,phased social-distancing measures are announced with voluntary guidance first and conditional mandatory rules if needed later,public-communication dependency; legal or compliance dependency; information or reporting dependency,official guidance update,major public briefing,`src-taiwan-social-distancing-measures-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-008,2020-04-02,border-control coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,symptomatic inbound travelers at airport or port routed by epidemic-prevention taxis to designated testing and medical-evaluation locations starting April 3,directive or authority dependency; resource or logistics dependency; public-communication dependency,decision announced,official guidance update,`src-taiwan-symptomatic-travelers-designated-location-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-009,2020-04-14,public-health policy and command,public-health policy and command; public-service system coordination; border-control coordination; enforcement and compliance; public-information coordination,inbound travelers from Europe and the Americas required to notify health officials before return and use quarantine hotels when home conditions are unsuitable,directive or authority dependency; resource or logistics dependency; legal or compliance dependency; public-communication dependency,decision announced,official guidance update,`src-taiwan-quarantine-hotels-europe-americas-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-005,2020-04-23,border-control coordination,border-control coordination; enforcement and compliance; public-information coordination,extension of direct-flight restrictions and passenger-transit ban,directive or authority dependency; legal or compliance dependency; public-communication dependency,implementation continued,official guidance update,`src-taiwan-transit-extension-2020`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-013,2020-02-01,border-control coordination,strategic executive coordination; public-health policy and command; public-information coordination,entry response measures convened for travelers from outbreak areas including expert meeting and differentiated entry procedures,directive or authority dependency; information or reporting dependency; public-communication dependency,decision announced,official guidance update,`src-taiwan-entry-response-2020-02-01`,high,sigma1; sigma2
tw,Taiwan,tw-p-014,2020-02-14,border-control coordination,public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,Entry Quarantine System launched for passenger health declaration and home quarantine information system to expedite immigration clearance,directive or authority dependency; information or reporting dependency; resource or logistics dependency; public-communication dependency,implementation initiated,official guidance update,`src-taiwan-entry-quarantine-system-2020-02-14`,high,sigma1; sigma2
tw,Taiwan,tw-p-015,2020-03-11,public-health policy and command,strategic executive coordination; public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,outbreak response measures launched for 48th confirmed case including epidemiological investigation and contact tracing,information or reporting dependency; public-communication dependency; resource or logistics dependency,implementation observed,major public briefing,`src-taiwan-outbreak-response-2020-03-11`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-016,2020-03-14,border-control coordination,strategic executive coordination; public-health policy and command; border-control coordination; public-information coordination,travel notice raised to Level 3 for Schengen countries with mandatory 14-day home quarantine for arriving travelers,directive or authority dependency; legal or compliance dependency; public-communication dependency,decision announced,official guidance update,`src-taiwan-schengen-level3-2020-03-14`,high,sigma1; sigma2; sigma3
tw,Taiwan,tw-p-017,2020-03-24,public-health policy and command,strategic executive coordination; public-health policy and command; public-service system coordination; border-control coordination; public-information coordination,"20 imported cases response with epidemiological investigation, contact tracing, and quarantine reinforcement for Navy cluster",information or reporting dependency; resource or logistics dependency; public-communication dependency,implementation observed,major public briefing,`src-taiwan-navy-cluster-response-2020-03-24`,high,sigma1; sigma2; sigma3
au,Australia,au-b-001,2020-02-05,public-health policy and command,public-information coordination; strategic executive coordination,AHPPC first COVID statement addressing false assumptions about Chinese appearance and community concern,public-communication dependency; information or reporting dependency,decision announced,major public briefing,`src-australia-ahppc-2020-02-05`,high,sigma1; sigma2
au,Australia,au-c-002,2020-02-13,public-health policy and command,border-control coordination; strategic executive coordination; public-information coordination,AHPPC travel restrictions resolution advising against travel to China,directive or authority dependency; public-communication dependency,decision announced,official guidance update,`src-australia-ahppc-travel-2020-02-13`,high,sigma1; sigma2; sigma3
au,Australia,au-b-003,2020-02-24,public-health policy and command,strategic executive coordination; public-information coordination,AHPPC pandemic risk escalation — sustained community transmission assessment in multiple countries,information or reporting dependency; public-communication dependency,decision announced,official guidance update,`src-australia-ahppc-2020-02-24`,high,sigma1; sigma2; sigma3
au,Australia,au-a-004,2020-03-15,strategic executive coordination,public-health policy and command; border-control coordination; public-information coordination; public-service system coordination,National Cabinet cruise ship ban and 500-person non-essential gathering limits,directive or authority dependency; legal or compliance dependency; public-communication dependency,implementation initiated,major public briefing,`src-australia-national-cabinet-2020-03-15`,high,sigma1; sigma2; sigma3
au,Australia,au-b-005,2020-03-17,public-health policy and command,strategic executive coordination; public-information coordination,AHPPC trajectory comparison showing Australia's position relative to other nations with growing overseas-acquired cases,information or reporting dependency; public-communication dependency,implementation observed,official guidance update,`src-australia-ahppc-2020-03-17`,high,sigma1; sigma2; sigma3
au,Australia,au-a-006,2020-03-22,strategic executive coordination,public-health policy and command; public-service system coordination; enforcement and compliance; public-information coordination,National Cabinet second stage activation with further business closures and enhanced enforcement,directive or authority dependency; legal or compliance dependency; public-communication dependency,implementation initiated,major public briefing,`src-australia-national-cabinet-2020-03-22`,high,sigma1; sigma2; sigma3
au,Australia,au-a-007,2020-03-27,strategic executive coordination,public-health policy and command; public-service system coordination; public-information coordination,National Cabinet tenancies and health supply arrangements for returned travellers and community outbreaks,directive or authority dependency; resource or logistics dependency; public-communication dependency,implementation clarified,official guidance update,`src-australia-national-cabinet-2020-03-27`,high,sigma1; sigma2; sigma3
au,Australia,au-a-008,2020-04-03,strategic executive coordination,public-health policy and command; public-service system coordination; public-information coordination,National Cabinet childcare and commercial tenancies coordination,directive or authority dependency; resource or logistics dependency; public-communication dependency,implementation clarified,official guidance update,`src-australia-national-cabinet-2020-04-03`,high,sigma1; sigma2
au,Australia,au-b-009,2020-05-14,public-health policy and command,strategic executive coordination; public-information coordination,AHPPC asymptomatic testing guidance and policy refinement,information or reporting dependency; public-communication dependency,implementation clarified,official guidance update,`src-australia-ahppc-asymptomatic-2020-05-14`,high,sigma1; sigma2
au,Australia,au-a-018,2020-03-13,public-health policy and command,strategic executive coordination; public-information coordination; public-service system coordination,AHPPC aged care recommendations for residential facilities outbreak preparedness,information or reporting dependency; public-communication dependency; resource or logistics dependency,decision announced,official guidance update,`src-australia-ahppc-aged-care-2020-03-13`,high,sigma1; sigma2
au,Australia,au-b-010,2020-03-30,public-health policy and command,strategic executive coordination; public-information coordination; public-service system coordination,AHPPC advice to National Cabinet on state/territory measures recognizing local circumstances for additional controls,information or reporting dependency; public-communication dependency,implementation clarified,official guidance update,`src-australia-ahppc-2020-03-30`,high,sigma1; sigma2
au,Australia,au-b-011,2020-04-03,public-health policy and command,strategic executive coordination; public-information coordination,AHPPC statement on COVID-19 in children advising preemptive closures not proportionate while acknowledging vulnerability,information or reporting dependency; public-communication dependency,decision announced,official guidance update,`src-australia-ahppc-2020-04-03-children`,high,sigma1; sigma2
au,Australia,au-a-012,2020-04-07,strategic executive coordination,public-health policy and command; public-information coordination; public-service system coordination,National Cabinet churches and worship places coordination for Easter services live streaming,directive or authority dependency; public-communication dependency,implementation clarified,official guidance update,`src-australia-national-cabinet-2020-04-07`,high,sigma1; sigma2
